Age,Gender,Education Level,Occupation,Political Affiliation,Geographic Location,Social Media Usage Frequency,Preferred Social Media,Political Content Exposure,Types of Political Content,Sources of Political Content,Recency of Exposure,Interactions Frequency,Political Content Topics,Perception of Accuracy,Awareness of Algorithms,Perception of Relevance,Personal Impact,Trust in Social Media,Concerns about Algorithms,Overall Quality of Discourse,Views on Influence,Suggestions for Improvement
27,Female,PhD,Employed,Conservative,USA,4+ hours,Twitter,Rarely,Memes,Mainstream media,Within the last 24 hours,Few times a week,Environment,Not accurate,Yes,Somewhat relevant,Strong impact,Trust somewhat,Very concerned,High quality,Very influential,Enhance user controls
71,Female,Bachelor's,Student,Independent,UK,2-4 hours,Instagram,Few times a week,Opinion pieces,Political parties,Within the last 24 hours,Few times a week,Immigration,Not accurate,Yes,Somewhat relevant,Strong impact,Do not trust,Not concerned,High quality,Not influential,Provide more diverse sources
75,Male,PhD,Employed,Liberal,USA,4+ hours,Twitter,Once a day,News articles,Mainstream media,Longer than a week ago,Several times a day,Economy,Not accurate,Yes,Somewhat relevant,Strong impact,Trust a lot,Somewhat concerned,Low quality,Not influential,Increase transparency
79,Non-binary,Bachelor's,Unemployed,Liberal,UK,1-2 hours,Twitter,Once a day,Opinion pieces,Mainstream media,Within the last week,Rarely,Immigration,Very accurate,Yes,Somewhat relevant,No impact,Trust somewhat,Somewhat concerned,High quality,Very influential,Enhance user controls
53,Male,High School,Unemployed,Liberal,Canada,1-2 hours,Instagram,Few times a week,News articles,Political parties,Within the last 24 hours,Few times a week,Environment,Somewhat accurate,No,Not relevant,Strong impact,Do not trust,Somewhat concerned,Low quality,Somewhat influential,Improve fact-checking
75,Non-binary,PhD,Employed,Liberal,USA,0-1 hour,Instagram,Once a day,Opinion pieces,Independent bloggers,Within the last hour,Few times a week,Economy,Very accurate,Yes,Somewhat relevant,Strong impact,Do not trust,Very concerned,High quality,Somewhat influential,Increase transparency
72,Female,PhD,Unemployed,Conservative,UK,2-4 hours,Twitter,Rarely,Memes,Mainstream media,Longer than a week ago,Once a day,Healthcare,Very accurate,Yes,Not relevant,Moderate impact,Do not trust,Somewhat concerned,Moderate quality,Somewhat influential,Enhance user controls
27,Non-binary,PhD,Employed,Conservative,Australia,2-4 hours,Twitter,Once a day,Opinion pieces,Political parties,Within the last week,Rarely,Economy,Not accurate,No,Very relevant,Strong impact,Trust a lot,Somewhat concerned,Low quality,Not influential,Enhance user controls
29,Female,High School,Unemployed,Independent,Australia,4+ hours,Facebook,Once a day,News articles,Independent bloggers,Within the last 24 hours,Few times a week,Economy,Not accurate,No,Not relevant,No impact,Do not trust,Very concerned,Moderate quality,Not influential,Enhance user controls
45,Female,Master's,Employed,Conservative,UK,0-1 hour,Facebook,Rarely,Opinion pieces,Independent bloggers,Longer than a week ago,Rarely,Immigration,Very accurate,No,Somewhat relevant,Moderate impact,Trust a lot,Not concerned,Moderate quality,Somewhat influential,Enhance user controls
48,Female,Master's,Unemployed,Liberal,Canada,0-1 hour,Facebook,Several times a day,News articles,Political parties,Longer than a week ago,Rarely,Economy,Not accurate,Yes,Not relevant,No impact,Trust a lot,Somewhat concerned,Low quality,Not influential,Provide more diverse sources
31,Female,PhD,Unemployed,Liberal,UK,4+ hours,Twitter,Once a day,Memes,Political parties,Longer than a week ago,Once a day,Environment,Very accurate,No,Not relevant,Strong impact,Trust somewhat,Somewhat concerned,Low quality,Somewhat influential,Increase transparency
61,Non-binary,High School,Unemployed,Independent,USA,0-1 hour,Instagram,Rarely,Opinion pieces,Political parties,Within the last 24 hours,Rarely,Environment,Not accurate,Yes,Very relevant,Strong impact,Trust somewhat,Not concerned,High quality,Very influential,Enhance user controls
78,Female,Bachelor's,Unemployed,Conservative,UK,1-2 hours,Twitter,Once a day,Memes,Political parties,Within the last hour,Few times a week,Environment,Somewhat accurate,No,Somewhat relevant,Strong impact,Trust somewhat,Not concerned,Moderate quality,Very influential,Enhance user controls
23,Female,PhD,Unemployed,Independent,UK,1-2 hours,Facebook,Once a day,News articles,Mainstream media,Within the last hour,Once a day,Economy,Somewhat accurate,Yes,Not relevant,Moderate impact,Do not trust,Very concerned,Moderate quality,Somewhat influential,Increase transparency
53,Female,Bachelor's,Student,Liberal,UK,4+ hours,Facebook,Several times a day,Memes,Political parties,Longer than a week ago,Once a day,Immigration,Very accurate,No,Not relevant,No impact,Trust somewhat,Very concerned,Low quality,Somewhat influential,Improve fact-checking
69,Male,Bachelor's,Unemployed,Independent,Canada,4+ hours,Twitter,Rarely,Opinion pieces,Mainstream media,Within the last 24 hours,Few times a week,Economy,Very accurate,Yes,Not relevant,No impact,Trust somewhat,Not concerned,Moderate quality,Somewhat influential,Improve fact-checking
44,Female,PhD,Student,Liberal,USA,0-1 hour,Facebook,Once a day,News articles,Political parties,Longer than a week ago,Few times a week,Economy,Not accurate,No,Very relevant,Moderate impact,Trust a lot,Very concerned,Moderate quality,Somewhat influential,Provide more diverse sources
73,Female,High School,Employed,Independent,Australia,2-4 hours,Instagram,Few times a week,Opinion pieces,Political parties,Within the last 24 hours,Several times a day,Immigration,Very accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Not concerned,Moderate quality,Not influential,Increase transparency
53,Male,Master's,Unemployed,Independent,USA,4+ hours,Instagram,Few times a week,Opinion pieces,Independent bloggers,Within the last hour,Few times a week,Environment,Very accurate,Yes,Not relevant,Moderate impact,Trust somewhat,Very concerned,Moderate quality,Very influential,Increase transparency
21,Female,PhD,Unemployed,Conservative,Australia,2-4 hours,Facebook,Several times a day,News articles,Mainstream media,Within the last 24 hours,Several times a day,Economy,Somewhat accurate,No,Very relevant,Strong impact,Do not trust,Somewhat concerned,High quality,Somewhat influential,Increase transparency
32,Non-binary,Bachelor's,Employed,Independent,Canada,0-1 hour,Instagram,Few times a week,News articles,Mainstream media,Longer than a week ago,Rarely,Economy,Somewhat accurate,No,Somewhat relevant,No impact,Trust a lot,Not concerned,Low quality,Very influential,Increase transparency
30,Female,Bachelor's,Unemployed,Liberal,Australia,0-1 hour,Facebook,Rarely,Memes,Mainstream media,Within the last 24 hours,Few times a week,Economy,Very accurate,Yes,Not relevant,No impact,Do not trust,Somewhat concerned,High quality,Very influential,Increase transparency
62,Male,Master's,Student,Independent,UK,4+ hours,Instagram,Few times a week,Opinion pieces,Independent bloggers,Within the last 24 hours,Few times a week,Economy,Not accurate,No,Very relevant,No impact,Trust a lot,Not concerned,High quality,Very influential,Increase transparency
38,Non-binary,PhD,Unemployed,Independent,UK,4+ hours,Instagram,Several times a day,Memes,Independent bloggers,Within the last 24 hours,Few times a week,Environment,Not accurate,No,Somewhat relevant,Strong impact,Trust a lot,Somewhat concerned,Low quality,Very influential,Increase transparency
47,Non-binary,Master's,Student,Independent,USA,2-4 hours,Facebook,Few times a week,News articles,Political parties,Within the last 24 hours,Once a day,Economy,Not accurate,No,Very relevant,Strong impact,Trust somewhat,Not concerned,High quality,Somewhat influential,Improve fact-checking
39,Male,Bachelor's,Student,Independent,UK,0-1 hour,Facebook,Rarely,Opinion pieces,Political parties,Within the last 24 hours,Several times a day,Immigration,Not accurate,No,Somewhat relevant,Strong impact,Trust a lot,Somewhat concerned,Moderate quality,Very influential,Increase transparency
67,Male,Master's,Employed,Independent,UK,0-1 hour,Twitter,Several times a day,Memes,Political parties,Longer than a week ago,Several times a day,Immigration,Not accurate,No,Very relevant,Moderate impact,Trust somewhat,Somewhat concerned,Moderate quality,Not influential,Increase transparency
57,Non-binary,High School,Unemployed,Liberal,Canada,2-4 hours,Twitter,Once a day,News articles,Mainstream media,Within the last week,Once a day,Economy,Somewhat accurate,No,Somewhat relevant,Moderate impact,Trust a lot,Somewhat concerned,High quality,Very influential,Provide more diverse sources
35,Female,High School,Student,Conservative,Canada,2-4 hours,Twitter,Several times a day,News articles,Mainstream media,Longer than a week ago,Few times a week,Environment,Very accurate,Yes,Very relevant,Strong impact,Trust a lot,Somewhat concerned,High quality,Not influential,Increase transparency
78,Male,High School,Employed,Independent,Australia,4+ hours,Twitter,Rarely,Opinion pieces,Independent bloggers,Longer than a week ago,Once a day,Immigration,Very accurate,Yes,Not relevant,Moderate impact,Trust somewhat,Very concerned,High quality,Somewhat influential,Provide more diverse sources
40,Non-binary,Master's,Unemployed,Conservative,USA,4+ hours,Instagram,Rarely,Opinion pieces,Political parties,Within the last hour,Rarely,Economy,Very accurate,No,Not relevant,Strong impact,Do not trust,Somewhat concerned,Low quality,Somewhat influential,Enhance user controls
29,Female,Master's,Unemployed,Conservative,Australia,1-2 hours,Facebook,Several times a day,Memes,Independent bloggers,Longer than a week ago,Several times a day,Environment,Not accurate,No,Very relevant,Strong impact,Trust a lot,Not concerned,High quality,Very influential,Increase transparency
67,Non-binary,Bachelor's,Unemployed,Independent,Canada,0-1 hour,Twitter,Several times a day,Opinion pieces,Mainstream media,Within the last hour,Once a day,Economy,Very accurate,No,Not relevant,Moderate impact,Trust a lot,Somewhat concerned,High quality,Somewhat influential,Increase transparency
45,Non-binary,PhD,Student,Liberal,UK,4+ hours,Facebook,Rarely,News articles,Mainstream media,Within the last week,Few times a week,Immigration,Very accurate,Yes,Not relevant,No impact,Trust a lot,Somewhat concerned,High quality,Not influential,Enhance user controls
58,Male,Master's,Employed,Independent,USA,0-1 hour,Twitter,Few times a week,Memes,Independent bloggers,Within the last week,Once a day,Economy,Not accurate,No,Somewhat relevant,Moderate impact,Trust somewhat,Not concerned,High quality,Not influential,Improve fact-checking
46,Female,Bachelor's,Employed,Conservative,Australia,2-4 hours,Facebook,Few times a week,Opinion pieces,Political parties,Within the last 24 hours,Few times a week,Environment,Somewhat accurate,Yes,Very relevant,Moderate impact,Trust somewhat,Somewhat concerned,Moderate quality,Very influential,Increase transparency
58,Non-binary,Bachelor's,Unemployed,Liberal,Australia,2-4 hours,Instagram,Rarely,News articles,Independent bloggers,Longer than a week ago,Rarely,Healthcare,Not accurate,Yes,Not relevant,Moderate impact,Trust a lot,Very concerned,High quality,Somewhat influential,Improve fact-checking
39,Non-binary,Bachelor's,Student,Liberal,Canada,1-2 hours,Twitter,Few times a week,News articles,Mainstream media,Within the last hour,Several times a day,Economy,Not accurate,No,Somewhat relevant,No impact,Trust somewhat,Not concerned,Moderate quality,Somewhat influential,Provide more diverse sources
50,Male,High School,Employed,Independent,Australia,0-1 hour,Instagram,Once a day,Memes,Mainstream media,Within the last 24 hours,Rarely,Environment,Somewhat accurate,Yes,Very relevant,Moderate impact,Trust a lot,Not concerned,High quality,Not influential,Provide more diverse sources
32,Non-binary,PhD,Student,Conservative,UK,0-1 hour,Facebook,Several times a day,News articles,Independent bloggers,Within the last hour,Once a day,Immigration,Very accurate,No,Not relevant,Moderate impact,Trust somewhat,Very concerned,High quality,Somewhat influential,Enhance user controls
53,Non-binary,Bachelor's,Unemployed,Liberal,USA,2-4 hours,Twitter,Few times a week,Opinion pieces,Independent bloggers,Within the last week,Several times a day,Healthcare,Very accurate,Yes,Very relevant,Strong impact,Do not trust,Not concerned,Moderate quality,Somewhat influential,Enhance user controls
46,Male,PhD,Student,Conservative,UK,0-1 hour,Instagram,Once a day,Opinion pieces,Independent bloggers,Within the last hour,Once a day,Immigration,Not accurate,No,Very relevant,Moderate impact,Trust somewhat,Somewhat concerned,High quality,Not influential,Increase transparency
68,Female,PhD,Unemployed,Conservative,UK,4+ hours,Facebook,Few times a week,News articles,Mainstream media,Within the last week,Once a day,Healthcare,Not accurate,Yes,Somewhat relevant,Moderate impact,Trust somewhat,Not concerned,Moderate quality,Very influential,Enhance user controls
43,Male,PhD,Student,Conservative,Australia,1-2 hours,Twitter,Few times a week,Opinion pieces,Mainstream media,Within the last 24 hours,Few times a week,Economy,Not accurate,No,Very relevant,Strong impact,Trust somewhat,Somewhat concerned,Low quality,Very influential,Enhance user controls
70,Non-binary,Master's,Student,Conservative,UK,2-4 hours,Instagram,Several times a day,Memes,Mainstream media,Within the last 24 hours,Few times a week,Economy,Not accurate,Yes,Very relevant,No impact,Trust somewhat,Not concerned,Low quality,Very influential,Improve fact-checking
19,Non-binary,Master's,Unemployed,Independent,Australia,2-4 hours,Twitter,Several times a day,News articles,Mainstream media,Within the last week,Once a day,Environment,Somewhat accurate,Yes,Somewhat relevant,No impact,Trust a lot,Not concerned,Moderate quality,Not influential,Provide more diverse sources
69,Female,Bachelor's,Employed,Liberal,USA,0-1 hour,Twitter,Once a day,Opinion pieces,Mainstream media,Within the last hour,Once a day,Immigration,Very accurate,No,Somewhat relevant,Strong impact,Trust a lot,Not concerned,High quality,Somewhat influential,Improve fact-checking
31,Male,Master's,Student,Conservative,UK,2-4 hours,Twitter,Few times a week,News articles,Independent bloggers,Within the last hour,Few times a week,Immigration,Somewhat accurate,Yes,Very relevant,No impact,Trust somewhat,Very concerned,High quality,Not influential,Enhance user controls
38,Male,Bachelor's,Student,Liberal,USA,0-1 hour,Instagram,Rarely,News articles,Mainstream media,Longer than a week ago,Few times a week,Economy,Very accurate,No,Very relevant,No impact,Do not trust,Not concerned,Low quality,Very influential,Increase transparency
56,Female,Master's,Student,Conservative,Australia,0-1 hour,Facebook,Few times a week,News articles,Independent bloggers,Within the last 24 hours,Once a day,Economy,Very accurate,No,Somewhat relevant,Moderate impact,Trust a lot,Not concerned,Low quality,Very influential,Increase transparency
72,Male,Bachelor's,Unemployed,Liberal,USA,0-1 hour,Facebook,Rarely,Opinion pieces,Political parties,Within the last 24 hours,Several times a day,Economy,Not accurate,No,Not relevant,Strong impact,Trust a lot,Not concerned,High quality,Very influential,Enhance user controls
40,Male,High School,Unemployed,Liberal,UK,1-2 hours,Instagram,Rarely,Opinion pieces,Political parties,Within the last 24 hours,Several times a day,Immigration,Somewhat accurate,No,Somewhat relevant,No impact,Trust a lot,Somewhat concerned,Low quality,Very influential,Increase transparency
70,Male,Master's,Student,Independent,USA,4+ hours,Facebook,Once a day,Opinion pieces,Political parties,Within the last hour,Once a day,Healthcare,Not accurate,Yes,Not relevant,Moderate impact,Do not trust,Very concerned,High quality,Somewhat influential,Increase transparency
58,Female,Master's,Unemployed,Conservative,Australia,2-4 hours,Instagram,Rarely,Memes,Mainstream media,Within the last hour,Rarely,Economy,Not accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Very concerned,Low quality,Somewhat influential,Improve fact-checking
36,Female,Bachelor's,Unemployed,Independent,UK,2-4 hours,Twitter,Several times a day,Opinion pieces,Independent bloggers,Within the last 24 hours,Few times a week,Environment,Somewhat accurate,No,Not relevant,Strong impact,Trust a lot,Very concerned,High quality,Somewhat influential,Improve fact-checking
76,Non-binary,PhD,Unemployed,Conservative,UK,2-4 hours,Twitter,Few times a week,Memes,Political parties,Within the last hour,Rarely,Economy,Not accurate,No,Somewhat relevant,Moderate impact,Trust somewhat,Not concerned,Low quality,Not influential,Improve fact-checking
52,Male,PhD,Unemployed,Independent,UK,4+ hours,Twitter,Few times a week,News articles,Political parties,Longer than a week ago,Several times a day,Healthcare,Very accurate,No,Not relevant,Strong impact,Do not trust,Very concerned,Moderate quality,Not influential,Improve fact-checking
76,Male,High School,Employed,Independent,Australia,2-4 hours,Twitter,Several times a day,News articles,Political parties,Longer than a week ago,Few times a week,Healthcare,Very accurate,No,Very relevant,Strong impact,Trust somewhat,Not concerned,Low quality,Somewhat influential,Increase transparency
34,Non-binary,High School,Employed,Independent,UK,4+ hours,Twitter,Once a day,Opinion pieces,Political parties,Longer than a week ago,Rarely,Immigration,Somewhat accurate,Yes,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,Moderate quality,Not influential,Enhance user controls
48,Female,High School,Employed,Conservative,Australia,2-4 hours,Instagram,Few times a week,Opinion pieces,Independent bloggers,Longer than a week ago,Several times a day,Healthcare,Not accurate,Yes,Somewhat relevant,Moderate impact,Trust a lot,Not concerned,Low quality,Very influential,Increase transparency
37,Male,Master's,Student,Conservative,Canada,1-2 hours,Facebook,Once a day,Opinion pieces,Independent bloggers,Within the last week,Rarely,Environment,Not accurate,No,Not relevant,No impact,Do not trust,Not concerned,Low quality,Somewhat influential,Improve fact-checking
53,Male,PhD,Employed,Independent,USA,2-4 hours,Instagram,Few times a week,Memes,Political parties,Within the last hour,Rarely,Economy,Very accurate,No,Not relevant,Moderate impact,Trust a lot,Not concerned,Low quality,Not influential,Enhance user controls
48,Female,Bachelor's,Unemployed,Independent,Australia,2-4 hours,Instagram,Rarely,Memes,Mainstream media,Within the last 24 hours,Once a day,Economy,Not accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Very concerned,High quality,Not influential,Increase transparency
44,Male,PhD,Unemployed,Independent,Australia,2-4 hours,Twitter,Rarely,News articles,Political parties,Within the last hour,Once a day,Healthcare,Somewhat accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Not concerned,Moderate quality,Very influential,Increase transparency
67,Non-binary,Bachelor's,Student,Independent,USA,4+ hours,Twitter,Several times a day,News articles,Independent bloggers,Longer than a week ago,Rarely,Environment,Somewhat accurate,No,Not relevant,Strong impact,Trust a lot,Very concerned,Low quality,Somewhat influential,Increase transparency
25,Male,High School,Employed,Liberal,USA,0-1 hour,Instagram,Once a day,Opinion pieces,Political parties,Within the last hour,Few times a week,Economy,Very accurate,No,Somewhat relevant,No impact,Do not trust,Very concerned,High quality,Somewhat influential,Provide more diverse sources
29,Non-binary,High School,Employed,Independent,Canada,4+ hours,Facebook,Once a day,News articles,Independent bloggers,Longer than a week ago,Rarely,Economy,Not accurate,Yes,Not relevant,Moderate impact,Trust a lot,Not concerned,High quality,Very influential,Increase transparency
52,Female,PhD,Unemployed,Liberal,Canada,4+ hours,Facebook,Several times a day,Memes,Independent bloggers,Longer than a week ago,Rarely,Economy,Not accurate,No,Not relevant,Strong impact,Trust somewhat,Very concerned,High quality,Somewhat influential,Enhance user controls
67,Non-binary,Master's,Student,Independent,UK,4+ hours,Twitter,Several times a day,Opinion pieces,Political parties,Within the last 24 hours,Few times a week,Economy,Somewhat accurate,Yes,Very relevant,Strong impact,Do not trust,Very concerned,Low quality,Not influential,Increase transparency
20,Female,PhD,Student,Independent,Canada,0-1 hour,Twitter,Once a day,Memes,Mainstream media,Within the last week,Rarely,Healthcare,Not accurate,Yes,Very relevant,No impact,Trust somewhat,Very concerned,High quality,Not influential,Increase transparency
52,Female,Bachelor's,Unemployed,Liberal,UK,4+ hours,Twitter,Rarely,Memes,Political parties,Longer than a week ago,Few times a week,Immigration,Somewhat accurate,Yes,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,Moderate quality,Very influential,Enhance user controls
53,Female,Bachelor's,Unemployed,Independent,Australia,1-2 hours,Instagram,Rarely,Memes,Independent bloggers,Longer than a week ago,Several times a day,Environment,Very accurate,Yes,Somewhat relevant,No impact,Do not trust,Very concerned,High quality,Very influential,Provide more diverse sources
71,Female,Master's,Student,Independent,Canada,4+ hours,Facebook,Once a day,News articles,Independent bloggers,Within the last week,Few times a week,Economy,Very accurate,Yes,Very relevant,No impact,Do not trust,Very concerned,Moderate quality,Somewhat influential,Enhance user controls
59,Female,PhD,Student,Independent,Canada,0-1 hour,Instagram,Once a day,News articles,Independent bloggers,Within the last week,Once a day,Healthcare,Not accurate,Yes,Very relevant,Strong impact,Trust a lot,Very concerned,Moderate quality,Very influential,Enhance user controls
62,Male,PhD,Student,Conservative,USA,1-2 hours,Facebook,Several times a day,Memes,Independent bloggers,Within the last week,Once a day,Immigration,Not accurate,Yes,Very relevant,Moderate impact,Do not trust,Not concerned,Low quality,Somewhat influential,Provide more diverse sources
27,Female,Bachelor's,Unemployed,Independent,UK,2-4 hours,Facebook,Several times a day,Opinion pieces,Mainstream media,Longer than a week ago,Rarely,Immigration,Very accurate,No,Not relevant,Strong impact,Trust somewhat,Very concerned,Low quality,Not influential,Provide more diverse sources
40,Female,High School,Unemployed,Independent,Australia,2-4 hours,Twitter,Several times a day,News articles,Independent bloggers,Within the last week,Few times a week,Environment,Not accurate,No,Not relevant,Strong impact,Trust a lot,Very concerned,Low quality,Not influential,Enhance user controls
23,Non-binary,High School,Student,Independent,Australia,4+ hours,Facebook,Several times a day,News articles,Independent bloggers,Within the last 24 hours,Few times a week,Immigration,Very accurate,Yes,Not relevant,Strong impact,Trust a lot,Not concerned,Moderate quality,Very influential,Enhance user controls
50,Female,High School,Unemployed,Independent,Canada,4+ hours,Twitter,Few times a week,News articles,Independent bloggers,Longer than a week ago,Few times a week,Economy,Not accurate,Yes,Somewhat relevant,Moderate impact,Trust somewhat,Very concerned,Low quality,Very influential,Enhance user controls
21,Non-binary,PhD,Unemployed,Conservative,Australia,0-1 hour,Twitter,Few times a week,News articles,Mainstream media,Within the last week,Few times a week,Environment,Not accurate,No,Somewhat relevant,No impact,Do not trust,Very concerned,Moderate quality,Somewhat influential,Enhance user controls
47,Male,PhD,Employed,Conservative,UK,1-2 hours,Instagram,Rarely,Opinion pieces,Independent bloggers,Longer than a week ago,Few times a week,Healthcare,Very accurate,No,Not relevant,Moderate impact,Trust a lot,Very concerned,Low quality,Very influential,Provide more diverse sources
68,Female,Bachelor's,Unemployed,Conservative,Canada,0-1 hour,Twitter,Few times a week,News articles,Mainstream media,Within the last hour,Once a day,Immigration,Not accurate,No,Somewhat relevant,Moderate impact,Trust a lot,Very concerned,Low quality,Not influential,Enhance user controls
20,Non-binary,High School,Unemployed,Independent,Australia,1-2 hours,Facebook,Once a day,Memes,Independent bloggers,Within the last hour,Once a day,Environment,Very accurate,No,Somewhat relevant,Strong impact,Do not trust,Not concerned,High quality,Very influential,Increase transparency
19,Non-binary,High School,Student,Liberal,UK,2-4 hours,Twitter,Several times a day,Opinion pieces,Political parties,Within the last week,Few times a week,Healthcare,Somewhat accurate,Yes,Very relevant,Moderate impact,Do not trust,Somewhat concerned,Low quality,Very influential,Improve fact-checking
67,Female,PhD,Unemployed,Liberal,Canada,1-2 hours,Facebook,Few times a week,News articles,Mainstream media,Within the last hour,Once a day,Immigration,Somewhat accurate,No,Not relevant,No impact,Trust a lot,Very concerned,Moderate quality,Not influential,Enhance user controls
61,Non-binary,Master's,Employed,Liberal,Canada,4+ hours,Twitter,Few times a week,News articles,Political parties,Within the last week,Rarely,Economy,Not accurate,No,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,Moderate quality,Not influential,Provide more diverse sources
75,Female,Master's,Unemployed,Liberal,Canada,1-2 hours,Facebook,Once a day,Memes,Mainstream media,Within the last 24 hours,Several times a day,Environment,Somewhat accurate,Yes,Very relevant,Strong impact,Do not trust,Somewhat concerned,High quality,Not influential,Provide more diverse sources
23,Male,PhD,Employed,Independent,Australia,4+ hours,Instagram,Few times a week,News articles,Independent bloggers,Within the last week,Rarely,Immigration,Not accurate,Yes,Somewhat relevant,Moderate impact,Trust a lot,Very concerned,High quality,Somewhat influential,Improve fact-checking
23,Male,High School,Unemployed,Conservative,Australia,4+ hours,Instagram,Several times a day,News articles,Mainstream media,Longer than a week ago,Rarely,Environment,Not accurate,No,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,Low quality,Somewhat influential,Increase transparency
39,Male,Master's,Student,Liberal,Canada,2-4 hours,Twitter,Several times a day,News articles,Political parties,Within the last hour,Once a day,Immigration,Not accurate,Yes,Not relevant,No impact,Trust a lot,Very concerned,Moderate quality,Not influential,Increase transparency
47,Non-binary,Master's,Employed,Liberal,Australia,1-2 hours,Twitter,Once a day,News articles,Mainstream media,Longer than a week ago,Few times a week,Environment,Somewhat accurate,Yes,Somewhat relevant,Moderate impact,Trust somewhat,Not concerned,Moderate quality,Very influential,Increase transparency
79,Female,PhD,Student,Liberal,Canada,0-1 hour,Twitter,Several times a day,Opinion pieces,Independent bloggers,Within the last 24 hours,Rarely,Economy,Very accurate,Yes,Very relevant,Strong impact,Trust somewhat,Somewhat concerned,Moderate quality,Somewhat influential,Increase transparency
62,Male,High School,Unemployed,Independent,Australia,4+ hours,Facebook,Once a day,News articles,Political parties,Within the last week,Few times a week,Immigration,Somewhat accurate,No,Very relevant,Strong impact,Do not trust,Not concerned,High quality,Very influential,Enhance user controls
32,Male,PhD,Employed,Independent,USA,4+ hours,Facebook,Rarely,Opinion pieces,Mainstream media,Within the last hour,Rarely,Immigration,Very accurate,Yes,Not relevant,No impact,Trust a lot,Somewhat concerned,Low quality,Somewhat influential,Increase transparency
24,Female,Bachelor's,Unemployed,Independent,Australia,1-2 hours,Twitter,Several times a day,Memes,Independent bloggers,Within the last hour,Once a day,Immigration,Not accurate,No,Somewhat relevant,No impact,Do not trust,Somewhat concerned,Moderate quality,Very influential,Enhance user controls
30,Female,Bachelor's,Unemployed,Liberal,Australia,2-4 hours,Facebook,Several times a day,Opinion pieces,Political parties,Within the last hour,Several times a day,Economy,Very accurate,No,Somewhat relevant,Moderate impact,Trust somewhat,Very concerned,Low quality,Somewhat influential,Enhance user controls
68,Female,Bachelor's,Unemployed,Conservative,USA,0-1 hour,Instagram,Few times a week,Opinion pieces,Political parties,Longer than a week ago,Rarely,Economy,Very accurate,No,Somewhat relevant,Moderate impact,Trust a lot,Very concerned,Moderate quality,Not influential,Provide more diverse sources
72,Non-binary,Bachelor's,Student,Conservative,Australia,0-1 hour,Twitter,Rarely,News articles,Mainstream media,Longer than a week ago,Several times a day,Environment,Very accurate,Yes,Somewhat relevant,Strong impact,Trust somewhat,Somewhat concerned,High quality,Not influential,Enhance user controls
27,Female,High School,Student,Independent,USA,1-2 hours,Twitter,Several times a day,News articles,Mainstream media,Within the last week,Rarely,Environment,Not accurate,No,Somewhat relevant,No impact,Trust a lot,Not concerned,Low quality,Not influential,Enhance user controls
64,Male,High School,Unemployed,Independent,Australia,2-4 hours,Twitter,Rarely,Opinion pieces,Political parties,Longer than a week ago,Once a day,Economy,Not accurate,No,Somewhat relevant,Strong impact,Trust somewhat,Very concerned,Low quality,Very influential,Provide more diverse sources
71,Non-binary,Master's,Employed,Liberal,UK,0-1 hour,Instagram,Rarely,Memes,Political parties,Within the last 24 hours,Rarely,Immigration,Somewhat accurate,Yes,Not relevant,Strong impact,Do not trust,Not concerned,Low quality,Somewhat influential,Improve fact-checking
40,Male,Master's,Employed,Independent,Australia,4+ hours,Facebook,Several times a day,Opinion pieces,Political parties,Within the last 24 hours,Few times a week,Environment,Not accurate,Yes,Very relevant,Strong impact,Trust a lot,Somewhat concerned,Low quality,Not influential,Provide more diverse sources
29,Male,Master's,Employed,Conservative,Canada,4+ hours,Facebook,Once a day,Memes,Political parties,Within the last hour,Rarely,Economy,Somewhat accurate,Yes,Somewhat relevant,Strong impact,Do not trust,Not concerned,Moderate quality,Somewhat influential,Improve fact-checking
43,Non-binary,Master's,Employed,Independent,Canada,2-4 hours,Facebook,Rarely,Memes,Mainstream media,Longer than a week ago,Once a day,Environment,Not accurate,No,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,Moderate quality,Not influential,Improve fact-checking
29,Non-binary,Master's,Student,Liberal,UK,4+ hours,Instagram,Rarely,Opinion pieces,Independent bloggers,Within the last hour,Several times a day,Economy,Somewhat accurate,Yes,Very relevant,Strong impact,Trust a lot,Very concerned,High quality,Very influential,Improve fact-checking
29,Male,Bachelor's,Student,Conservative,UK,4+ hours,Instagram,Once a day,News articles,Mainstream media,Within the last 24 hours,Few times a week,Healthcare,Somewhat accurate,No,Not relevant,No impact,Do not trust,Somewhat concerned,Moderate quality,Not influential,Increase transparency
60,Male,PhD,Employed,Conservative,USA,2-4 hours,Instagram,Rarely,News articles,Mainstream media,Within the last week,Rarely,Economy,Not accurate,No,Very relevant,No impact,Trust a lot,Very concerned,High quality,Not influential,Improve fact-checking
38,Male,PhD,Employed,Liberal,Canada,1-2 hours,Instagram,Rarely,Memes,Mainstream media,Within the last hour,Several times a day,Environment,Not accurate,Yes,Not relevant,Strong impact,Trust a lot,Somewhat concerned,High quality,Not influential,Improve fact-checking
